Batch,Reward,Loss
1.0,12,1.7354144276496386
2.0,15,1.1147190781200633
3.0,11,0.6871559767906068
4.0,15,0.548841422254389
5.0,22,0.5481129532723915
6.0,40,0.6049554595133153
7.0,23,0.5854878662355271
8.0,10,0.5992756480315946
9.0,10,0.5968606128412135
10.0,15,0.6069386779445491
11.0,16,0.6422040884917205
12.0,50,0.6453086570225354
13.0,11,0.7432731100491115
14.0,42,0.6988989017667814
15.0,27,0.783607419134703
16.0,25,0.8081056970439545
17.0,31,0.8189099494840058
18.0,11,0.9186945236090458
19.0,20,0.7207994367718963
20.0,23,0.9312666538883658
21.0,26,0.9812545791227071
22.0,14,1.1655952309117172
23.0,21,1.205144068898534
24.0,15,1.1045516060860776
25.0,13,1.2394768064548087
26.0,9,1.1498422093443819
27.0,51,1.6939211854671783
28.0,22,1.3346034299268266
29.0,13,1.3007082394992604
30.0,18,1.553137567168788
31.0,22,1.5620821135746072
32.0,22,1.4594220735567034
33.0,40,1.7383913096417203
34.0,25,1.7825510330364833
35.0,15,1.7814837484658577
36.0,25,1.4987360162411625
37.0,13,1.4950053699030905
38.0,39,1.08075799217707
39.0,26,1.6122252481653196
40.0,24,2.3116352650470637
41.0,53,1.7389800753858355
42.0,29,1.9106488600644198
43.0,26,2.0004069058582035
44.0,29,1.6589029430245388
45.0,15,2.074354625517322
46.0,37,2.0244547517356106
47.0,21,1.5602211019359595
48.0,80,1.4395454861294386
49.0,35,2.0239422435456134
50.0,46,2.2533460369863008
51.0,45,1.7949532731767779
52.0,11,1.9194440005644666
53.0,28,1.5332011274028061
54.0,33,1.933177811282498
55.0,27,2.1420365392345273
56.0,60,2.5262770154743595
57.0,36,1.8866229498755873
58.0,23,1.6978603380449702
59.0,43,1.7346333669436316
60.0,32,2.6773809982081724
61.0,86,1.8751907457642878
62.0,51,1.5613412716602892
63.0,87,1.3791374779980758
64.0,116,1.930321288171485
65.0,11,1.7995010591172553
66.0,32,2.05443465899158
67.0,10,1.554714573369752
68.0,66,1.6979086020124772
69.0,51,1.2864887722380618
70.0,24,1.6126907499212968
71.0,80,1.7369160217604613
72.0,39,1.9419132524385643
73.0,82,1.895315044204394
74.0,34,1.1066054512788583
75.0,36,1.2656345322210567
76.0,89,1.2836474766245465
77.0,73,1.1809081791999727
78.0,63,1.6188796839492763
79.0,75,1.4449988128435918
80.0,30,1.4685752412312711
81.0,60,1.617744526133695
82.0,70,1.3198204631780608
83.0,33,1.5356588785706715
84.0,59,1.3191021769029714
85.0,81,1.6628176629808213
86.0,35,1.7329015388156443
87.0,71,1.2282594393676436
88.0,167,1.5167801622461086
89.0,65,1.3751499770056734
90.0,48,1.267030188015529
91.0,61,1.9073117866709426
92.0,83,1.4417089579580826
93.0,61,1.5256878615723763
94.0,17,2.1406932894525856
95.0,121,0.8799437699907018
96.0,128,1.3736475336873464
97.0,172,1.2279221907621476
98.0,10,1.577166615335878
99.0,149,1.2930228358858264
100.0,102,1.4331050116174606
101.0,26,1.5363651634261466
102.0,35,1.6905621314430472
103.0,62,1.4730367785207796
104.0,78,1.3755475529527903
105.0,184,1.4612708843581395
106.0,17,1.3930296712173968
107.0,153,1.6700412119913226
108.0,200,1.3102363227301377
109.0,54,1.3143942598795197
110.0,88,1.535840729257603
111.0,183,1.2145316449521613
112.0,116,1.4018692386065639
113.0,24,1.2698796901600966
114.0,23,1.4858387108879458
115.0,200,1.4753324030116832
116.0,55,1.4082947395043577
117.0,200,1.6840930104239644
118.0,86,1.665732992456759
119.0,200,1.5611245600324584
120.0,200,1.6482609359440825
121.0,200,1.6613043208846527
122.0,50,1.2569660048549638
123.0,200,1.6619798374487884
124.0,50,1.5453048683334962
125.0,87,1.6157491846424197
126.0,200,1.725633863841786
127.0,41,1.3977967078202922
128.0,152,1.6154935192771074
129.0,105,1.6655931276138054
130.0,200,1.8635193675130355
131.0,200,1.6089906025731657
132.0,78,1.6661292717986842
133.0,21,1.7585558400918255
134.0,143,1.4698486212295103
135.0,71,1.5161216238192443
136.0,200,1.3882733526780366
137.0,72,1.519847634347897
138.0,200,1.6999815600434718
139.0,105,1.8345858954314762
140.0,75,2.0775566969777195
141.0,159,1.9910426720694188
142.0,185,1.683471607542274
143.0,152,2.073301710709623
144.0,111,1.5821357541132957
145.0,149,1.6047786284751298
146.0,200,1.8512508908680507
147.0,200,1.8817236685369982
148.0,200,1.7099330673498403
149.0,15,1.9341236226856415
150.0,200,2.3299754507564874
151.0,200,2.1775826905903064
152.0,200,2.0800623151672157
153.0,200,2.1921010999229713
154.0,200,1.8209863410612042
155.0,174,1.8405567183011688
156.0,183,1.8873246290606518
157.0,200,2.2100583655664345
158.0,200,1.9489911617797986
159.0,200,2.2983732846683225
160.0,54,1.9873602824349517
161.0,116,1.6903189422199996
162.0,54,2.0838737584617206
163.0,36,2.0135373072507448
